Index,Manufacturer Part Number,Manufacturer Name,Description,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Product Notes
1,150160BS73103,Würth Elektronik,WL-SMTW SMT MONO-COLOR TOP LED W,,50,50,Cut Tape (CT),732-150160BS73103CT-ND,0.29300,$14.65,1,
2,SFH 4547,ams-OSRAM USA INC.,EMITTER IR 950NM 100MA RADIAL,,10,10,Bulk,475-SFH4547-ND,0.81600,$8.16,1,
3,JB12F5000R,YAGEO,FUSE 1206 0.5A 63VDC FAST,,10,10,Cut Tape (CT),13-JB12F5000RCT-ND,0.19100,$1.91,1,
4,UJ20-C-H-G-SMT-1-P16-TR,Same Sky (Formerly CUI Devices),"USB JACK, TYPE C,2.0, HORIZONTAL",,10,10,Cut Tape (CT),2223-UJ20-C-H-G-SMT-1-P16-TRCT-ND,0.56700,$5.67,1,
5,ESP32-S3-WROOM-1U-N16R8,Espressif Systems,RF TXRX MOD BT WIFIU.FL SMD,,3,3,Cut Tape (CT),1965-ESP32-S3-WROOM-1U-N16R8CT-ND,10.11000,$30.33,1,
6,MAX17048G+T10,Analog Devices Inc./Maxim Integrated,IC BATT MON LI-ION 1CELL 8TDFN,,3,3,Cut Tape (CT),MAX17048G+T10CT-ND,5.58000,$16.74,1,"Non Cancellable Non Returnable. "
7,USBLC6-4SC6-EV,EVVO,TVS DIODE 5VWM 13VC SOT236,,10,10,Cut Tape (CT),5272-USBLC6-4SC6-EVCT-ND,0.47700,$4.77,1,
8,XC6220B331MR-G,Torex Semiconductor Ltd,IC REG LINEAR 3.3V 1A SOT-25-5,,10,10,Cut Tape (CT),893-1133-1-ND,1.48500,$14.85,1,
9,TPB4056A20-ES1R,3PEAK,LINEAR BATTERY CHARGER 1 CELL 8-,,10,10,Cut Tape (CT),5503-TPB4056A20-ES1RCT-ND,0.50700,$5.07,1,
10,DW01A,"Shenzhen Slkormicro Semicon Co., Ltd.",1.5V~10V LITHIUM BATTERY 1 SOT-2,,100,100,Cut Tape (CT),5399-DW01ACT-ND,0.02510,$2.51,1,
11,TCA8418RTWR,Texas Instruments,IC INTERFACE SPECIALIZED 24WQFN,,3,3,Cut Tape (CT),296-25223-1-ND,2.88000,$8.64,1,
12,TL3342F160QG/TR,E-Switch,SWITCH TACTILE SPST-NO 0.05A 12V,,100,100,Cut Tape (CT),EG2531CT-ND,0.64260,$64.26,1,
13,MBT3904DW1T1G,onsemi,TRANS 2NPN 40V 200MA SC88/SC70,,100,100,Cut Tape (CT),MBT3904DW1T1GOSCT-ND,0.10270,$10.27,1,
14,DMG2301L-7,Diodes Incorporated,MOSFET P-CH 20V 3A SOT23,,100,100,Cut Tape (CT),DMG2301L-7DICT-ND,0.14460,$14.46,1,
15,DMG9926UDM-7,Diodes Incorporated,MOSFET 2N-CH 20V 4.2A SOT26,,10,10,Cut Tape (CT),DMG9926UDMDICT-ND,0.71000,$7.10,1,
16,B2B-PH-SM4-TB,JST Sales America Inc.,CONN HEADER SMD 2POS 2MM,,10,10,Cut Tape (CT),455-B2B-PH-SM4-TBCT-ND,0.56500,$5.65,1,
17,TSSP77038TT,Vishay Semiconductor Opto Division,SENSOR REMOTE REC 38.0KHZ 40M,,3,3,Cut Tape (CT),TSSP77038TCT-ND,2.88000,$8.64,1,
18,LIS3DHTR,STMicroelectronics,ACCEL 2-16G I2C/SPI 16LGA,,5,5,Cut Tape (CT),497-10613-1-ND,2.03800,$10.19,1,
19,2770,Adafruit Industries LLC,"GRAPHIC DISPLAY TFT RGB 2.8""",,3,3,Bulk,1528-2770AD-ND,30.76000,$92.28,1,
20,62684-502100ALF,Amphenol ICC (FCI),CONN FPC TOP 50POS 0.5MM R/A,,3,3,Cut Tape (CT),609-1202-1-ND,1.08000,$3.24,1,
